antecedents,consequents,support,confidence,lift
"MED_atorvastatin, COND_anxiety",MED_aspirin,0.033713877987870136,0.8217391304347825,2.313746642499945
"COND_obesity, MED_albuterol, MED_atorvastatin",MED_aspirin,0.031038173385658223,0.820754716981132,2.3109748585616403
"MED_aspirin, DX_R07.89",MED_atorvastatin,0.03888690688547984,0.8482490272373541,2.3106336475668643
"PROC_G0008, MED_atorvastatin",MED_aspirin,0.03995718872636461,0.8205128205128206,2.31029375780757
"DX_N39.0, MED_atorvastatin",MED_aspirin,0.03424901890831252,0.8205128205128205,2.3102937578075697
"COND_depression, MED_atorvastatin",MED_aspirin,0.034962540135569035,0.8200836820083682,2.3090854451727334
"MED_atorvastatin, DX_Z87.891",MED_aspirin,0.035319300749197285,0.818181818181818,2.3037304232683433
"MED_aspirin, COND_anxiety",MED_atorvastatin,0.033713877987870136,0.8437499999999999,2.2983782798833814
"MED_atorvastatin, PROC_90471",MED_aspirin,0.03407063860149839,0.8162393162393161,2.2982609778189884
"PROC_94640, MED_atorvastatin",MED_aspirin,0.038530146271851584,0.8150943396226414,2.2950371009163875
"MED_aspirin, PROC_36415",MED_atorvastatin,0.03139493399928648,0.8421052631578948,2.2938980103319526
"DX_R50.9, MED_aspirin",MED_atorvastatin,0.03585444166963967,0.8410041841004184,2.290898666699196
"MED_atorvastatin, DX_K59.0",MED_aspirin,0.0392436674991081,0.8118081180811807,2.2857841838086883
"MED_aspirin, DX_Z87.891",MED_atorvastatin,0.035319300749197285,0.8319327731092436,2.2661881078962196
"MED_atorvastatin, DX_R07.89",MED_aspirin,0.03888690688547984,0.8044280442804427,2.2650043275922456
"MED_metformin, MED_aspirin",MED_atorvastatin,0.03567606136282554,0.8298755186721991,2.2605841388126082
"MED_aspirin, PROC_93306",MED_atorvastatin,0.03567606136282554,0.8298755186721991,2.2605841388126082
"COND_obesity, MED_atorvastatin",MED_aspirin,0.08134141990724224,0.8028169014084506,2.260467880108375
"DX_R50.9, MED_atorvastatin",MED_aspirin,0.03585444166963967,0.8007968127490039,2.254779976027582
"MED_aspirin, COND_depression",MED_atorvastatin,0.034962540135569035,0.8270042194092828,2.2527627084589112
"MED_atorvastatin, DX_E03.9",MED_aspirin,0.03460577952194078,0.7950819672131149,2.238688853941096
"MED_atorvastatin, DX_I25.10",MED_aspirin,0.03264359614698537,0.7922077922077921,2.2305961241169676
"MED_aspirin, COND_ckd",MED_atorvastatin,0.03478415982875491,0.8158995815899582,2.2225136318723546
